epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.969,1.12342,3.36614,1.57813,0.37475,0.48095,0.35892,0.21096,1.35563,2.31682,1.91783,0.00332646,0.00332646,0.00332646
2,284.687,1.14259,2.52815,1.56984,0.3409,0.43287,0.36992,0.20073,1.52911,2.41182,2.08683,0.00659386,0.00659386,0.00659386
3,426.132,1.20398,2.40633,1.61606,0.37688,0.44312,0.37219,0.19476,1.73978,2.27934,2.44936,0.00979526,0.00979526,0.00979526
4,563.521,1.2881,2.37401,1.68424,0.46391,0.4517,0.46441,0.25696,1.56418,2.12868,2.17013,0.009703,0.009703,0.009703
5,698.878,1.25148,2.19768,1.64877,0.4822,0.5586,0.55512,0.3146,1.47108,2.03423,2.07688,0.009604,0.009604,0.009604
6,834.861,1.21297,2.041,1.61847,0.57717,0.58724,0.59352,0.34601,1.48968,1.61983,2.09661,0.009505,0.009505,0.009505
7,972.415,1.18764,1.91907,1.59634,0.62162,0.51776,0.59724,0.35054,1.40841,1.66331,1.98929,0.009406,0.009406,0.009406
8,1106.03,1.16524,1.83185,1.57265,0.66428,0.61467,0.66721,0.38806,1.445,1.55335,2.02725,0.009307,0.009307,0.009307
9,1243.53,1.15232,1.77429,1.5565,0.57188,0.65697,0.66253,0.39256,1.52439,1.6416,2.16457,0.009208,0.009208,0.009208
10,1380.12,1.13104,1.69057,1.54166,0.64125,0.60046,0.67117,0.41352,1.38826,1.46034,1.92783,0.009109,0.009109,0.009109
11,1517.01,1.11836,1.65321,1.53156,0.65275,0.67548,0.71517,0.44925,1.40628,1.39561,1.955,0.00901,0.00901,0.00901
12,1653.01,1.10376,1.60627,1.51925,0.74201,0.64533,0.73755,0.47463,1.28702,1.29793,1.83033,0.008911,0.008911,0.008911
13,1788.55,1.08799,1.57345,1.51387,0.65578,0.70299,0.73185,0.46737,1.28642,1.29624,1.80266,0.008812,0.008812,0.008812
14,1925.11,1.09053,1.5409,1.50389,0.65303,0.67221,0.71829,0.45655,1.34317,1.32906,1.92623,0.008713,0.008713,0.008713
15,2058.36,1.07048,1.49734,1.49197,0.78771,0.72669,0.79958,0.52383,1.29114,1.1377,1.79771,0.008614,0.008614,0.008614
16,2194.26,1.05011,1.48097,1.47687,0.77721,0.68006,0.77612,0.50038,1.27884,1.19297,1.80997,0.008515,0.008515,0.008515
